"state","request","count","percent"
"S","Inv",20003,"24.96"
"S","L1_Replacement",6," 0.01"
"E","L1_Replacement",1," 0.00"
"E","Fwd_GETS",2," 0.00"
"M","L1_Replacement",2," 0.00"
"M","Fwd_GETS",10015,"12.50"
"IS","Data_Exclusive",1," 0.00"
"IS","DataS_fromL1",10017,"12.50"
"IS","Data_all_Acks",10069,"12.56"
"IM","Data_all_Acks",18," 0.02"
"SM","Ack",20003,"24.96"
"SM","Ack_all",10007,"12.49"
"M_I","WB_Ack",3," 0.00"
